cited_articletitle,cited_year,cited_journal,citing_articletitle,citing_year,citing_journal
"Yeast-secreted, dried and food-admixed monomeric IgA prevents gastrointestinal infection in a piglet model",2019,Nat. Biotechnol,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Nanobody-mediated resistance to Grapevine fanleaf virus in plants,2018,Plant Biotechnol. J,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Heating as a rapid purification method for recovering correctly-folded thermotolerant VH and VHH domains,2007,BMC Biotechnol,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Selection and characterization of camelid nanobodies towards urokinase-type plasminogen activator,2015,Mol. Immunol,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
High yield purification of nanobodies from the periplasm of E. coli as fusions with the maltose binding protein,2013,Protein Expr. Purif,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Production of a mono-biotinylated EGFR nanobody in the E. coli periplasm using the pET22b vector,2018,BMC Res. Notes,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Nanobodycoupled microbubbles as novel molecular tracer,2012,J. Contr. Release,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Hapten mediated display and pairing of recombinant antibodies accelerates assay assembly for biothreat countermeasures,2012,Sci. Rep,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Combining magnetic nanoparticle with biotinylated nanobodies for rapid and sensitive detection of influenza H3N2,2014,Nanoscale Res Lett,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Biotinylated single-domain antibodybased blocking ELISA for detection of antibodies against swine influenza virus,2019,Int. J. Nanomed,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Development of a nanobody-AviTag fusion protein and its application in a streptavidin-biotin-amplified enzyme-linked immunosorbent assay for Ochratoxin A in cereal,2018,Anal. Chem,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Optical imaging of pre-invasive breast cancer with a combination of VHHs targeting CAIX and HER2 increases contrast and facilitates tumour characterization,2016,EJNMMI Res,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
One-step ultrasensitive bioluminescent enzyme immunoassay based on nanobody/ nanoluciferase fusion for detection of Aflatoxin B 1 in cereal,2019,J. Agric. Food Chem,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
"Efficient, chemoselective synthesis of immunomicelles using single-domain antibodies with a C-terminal thioester",2009,BMC Biotechnol,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Enzymatic functionalization of a nanobody using protein insertion technology,2015,Protein Eng. Des. Sel,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Improved quantitative and qualitative production of single-domain intrabodies mediated by the co-expression of Erv1p sulfhydryl oxidase,2011,Protein Expr. Purif,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Screening and purification of nanobodies from E. coli culture supernatants using the hemolysin secretion system,2019,Microb. Cell Factories,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Purification-independent immunoreagents obtained by displaying nanobodies on bacteria surface,2019,Appl. Microbiol. Biotechnol,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Escherichia coli surface display for the selection of nanobodies,2017,Microb Biotechnol,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Yeast surface display platform for rapid discovery of conformationally selective nanobodies,2018,Nat. Struct. Mol. Biol,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Isolation of antigen-specific VHH single-domain antibodies by combining animal immunization with yeast surface display,2020,Methods Mol. Biol,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Rapid antigen and antibody-like molecule discovery by staphylococcal surface display,2020,Methods Mol. Biol,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Bacterial whole-cell biocatalysts by surface display of enzymes: toward industrial application,2014,Appl. Microbiol. Biotechnol,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Antibody purification-independent microarrays (PIM) by direct bacteria spotting on TiO2-treated slides,2012,Methods,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Whole-cell biosensor with tunable limit of detection enables low-cost agglutination assays for medical diagnostic applications,2019,,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Salmonella engineered to express CD20-targeting antibodies and a drug-converting enzyme can eradicate human lymphomas,2013,Blood,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Display of recombinant proteins on bacterial outer membrane vesicles by using protein ligation,2018,Appl. Environ. Microbiol,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
"New routes and opportunities for modular construction of particulate vaccines: stick, click, and glue",2018,Front. Immunol,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
A synthetic bacterial cell-cell adhesion toolbox for A. de Marco Protein Expression and Purification,2020,,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
programming multicellular morphologies and patterns,2018,Cell,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
An improved yeast surface display platform for the screening of nanobody immune libraries,2019,Sci. Rep,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Anti-multiple myeloma activity of nanobody-based anti-CD38 chimeric antigen receptor T cells,2018,Mol. Pharm,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Engineered Jurkat cells for targeting prostate-specific membrane antigen on prostate cancer cells by nanobody-based chimeric antigen receptor,2020,Iran. Biomed. J,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Strong and oriented immobilization of single domain antibodies from crude bacterial lysates for high-throughput compatible cost-effective antibody array generation,2010,Mol. Biosyst,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Genetic fusion of an anti-BclA single-domain antibody with beta galactosidase,2018,Antibodies,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
"Novel recombinant immunotoxin of EGFR specific nanobody fused with cucurmosin, construction and antitumor efficiency in vitro",2017,Oncotarget,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Generation of camelid VHH bispecific constructs via in-cell intein-mediated protein trans-splicing,2017,Protein Eng. Des. Sel,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
The ALFA-tag is a highly versatile tool for nanobody-based bioscience applications,2019,Nat. Commun,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Optimizing intracellular antibodies (intrabodies/nanobodies) to treat neurodegenerative disorders,2020,Neurobiol. Dis,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Computational affinity maturation of camelid single-domain intrabodies against the nonamyloid component of alpha-synuclein,2018,Sci. Rep,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Cytoplasmic versus periplasmic expression of site-specifically and bioorthogonally functionalized nanobodies using expressed protein ligation,2017,Protein Expr. Purif,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Optimization of dilution refolding conditions for a camelid single domain antibody against human beta-2-microglobulin,2016,Protein Expr. Purif,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
High expression achievement of active and robust anti-β2 microglobulin nanobodies via E. coli hosts selection,2019,Molecules,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
"Adriaensens, An efficient protocol towards site-specifically clickable nanobodies in high yield: cytoplasmic expression in Escherichia coli combined with inteinmediated protein ligation",2015,Protein Eng. Des. Sel,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Characteristics of flavonoids as potent MERS,,,Individual risk management strategy and potential therapeutic options for the COVID-19 pandemic,2020,Clinical Immunology
Site-selective functionalization of nanobodies using intein-mediated protein ligation for innovative bioconjugation,2019,Methods Mol. Biol,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Nanobody production can be simplified by direct secretion from Escherichia coli,2020,Protein Expr. Purif,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Lactobacilli producing bispecific llama-derived anti-rotavirus proteins in vivo for rotavirus-induced diarrhea,2011,Future Microbiol,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Co-expression of anti-rotavirus proteins (llama VHH antibody fragments) in Lactobacillus: development and functionality of vectors containing two expression cassettes in tandem,2014,PLoS One,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Enhanced expression and purification of camelid single domain VHH antibodies from classical inclusion bodies,2017,Protein Expr. Purif,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Accurate quantitation for in vitro refolding of single domain antibody fragments expressed as inclusion bodies by referring the concomitant expression of a soluble form in the periplasms of Escherichia coli,2017,J. Immunol. Methods,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Comparative analysis of nanobody sequence and structure data,2018,Proteins,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Analysis of nanobody paratopes reveals greater diversity than classical antibodies,2018,Protein Eng. Des. Sel,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Interactions of domain antibody (dAbκ11) with Mycobacterium tuberculosis Ac 2 SGL in complex with CD1b,2019,Tuberculosis,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
ACGME Response to COVID-19 Pandemic Crisis,2020,,Radiology Residency Preparedness and Response to the COVID-19 Pandemic,2020,Academic Radiology
Computational design of antibody-affinity improvement beyond in vivo maturation,2007,Nat. Biotechnol,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Application of assisted design of antibody and protein therapeutics (ADAPT) improves efficacy of a Clostridium difficile toxin A single-domain antibody,2018,Sci. Rep,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
The biotechnological applications of recombinant single-domain antibodies are optimized by the C-terminal fusion to the EPEA sequence (C tag),2014,Antibodies,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
"NaLi-H1: a universal synthetic library of humanized nanobodies providing highly functional antibodies and intrabodies, eLife",2016,,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Quantification of circulating cancer biomarkers via sensitive topographic measurements on single binder nanoarrays,2017,ACS Omega,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
A In vitro isolation of nanobodies for selective Alexandrium minutum recognition: a model for convenient development of dedicated immuno-reagents to study and diagnostic toxic unicellular algae,2019,Harmful Algae,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Comparative analysis of fusion tags used to functionalize recombinant antibodies,2020,Protein Expr. Purif,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Electrochemical immunosensor functionalized with nanobodies for the detection of the toxic microalgae Alexandrium minutum using glassy carbon electrode modified with gold nanoparticles,2020,Biosens. Bioelectron. 124,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Isolation of recombinant antibodies that recognize native and accessible membrane biomarkers,2015,NATO Science for Peace and Security Series A: Chemistry and Biology,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
Synthetic single domain antibodies for the conformational trapping of membrane proteins,2018,Elife,Recombinant expression of nanobodies and nanobody-derived immunoreagents,2020,Protein Expression and Purification
"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China",2020,Lancet Lond Engl,Preparing IR for COVID-19: The Singapore Experience,2020,Journal of Vascular and Interventional Radiology
World Health Organization: Rolling Updates on Coronavirus Disease (COVID-19),2020,,Preparing IR for COVID-19: The Singapore Experience,2020,Journal of Vascular and Interventional Radiology
Coronavirus COVID-19 Global cases by Johns Hopkins CSSE,2020,,Preparing IR for COVID-19: The Singapore Experience,2020,Journal of Vascular and Interventional Radiology
COVID-19 and the cardiovascular system,2020,Nature Reviews Cardiology,Preparing IR for COVID-19: The Singapore Experience,2020,Journal of Vascular and Interventional Radiology
"Two Emergency Physicians In Critical Condition. A Statement from ACEP President William Jaquis, MD, FACEP",2020,,Preparing IR for COVID-19: The Singapore Experience,2020,Journal of Vascular and Interventional Radiology
Radiology Department Preparedness for COVID-19: Radiology Scientific Expert Panel,2020,Radiology,Preparing IR for COVID-19: The Singapore Experience,2020,Journal of Vascular and Interventional Radiology
Is your interventional radiology service ready for SARS? The Singapore experience,2003,Cardiovasc Intervent Radiol,Preparing IR for COVID-19: The Singapore Experience,2020,Journal of Vascular and Interventional Radiology
Severe acute respiratory syndrome: 11 years later-a radiology perspective,2014,AJR Am J Roentgenol,Preparing IR for COVID-19: The Singapore Experience,2020,Journal of Vascular and Interventional Radiology
Personal view can we contain the COVID-19 outbreak with the same measures as for SARS? Lancet Infect Dis 2020,2020,,Preparing IR for COVID-19: The Singapore Experience,2020,Journal of Vascular and Interventional Radiology
Microbiology for radiologists: how to minimize infection transmission in the radiology department,2015,Radiographics,Preparing IR for COVID-19: The Singapore Experience,2020,Journal of Vascular and Interventional Radiology
COVID-19 (Coronavirus Disease 2019) DORSCON levels,2020,,Preparing IR for COVID-19: The Singapore Experience,2020,Journal of Vascular and Interventional Radiology
AGPs) by National Health Service (NHS) and Health Protection Scotland,2019,National Health Service. Report on Aerosol Generating Procedures,Preparing IR for COVID-19: The Singapore Experience,2020,Journal of Vascular and Interventional Radiology
World Health Organization. My 5 Moments for Hand Hygiene,2020,,Preparing IR for COVID-19: The Singapore Experience,2020,Journal of Vascular and Interventional Radiology
Infection Prevention and Control of Epidemic-And Pandemic-Prone Acute Respiratory Infections in Health Care. WHO Guidelines,2020,,Preparing IR for COVID-19: The Singapore Experience,2020,Journal of Vascular and Interventional Radiology
De-isolating COVID-19 suspect cases: a continuing challenge,2020,Clin. Infect. Dis,Preparing IR for COVID-19: The Singapore Experience,2020,Journal of Vascular and Interventional Radiology
Dashboard of the COVID-19 Virus Outbreak in Singapore,2020,,Preparing IR for COVID-19: The Singapore Experience,2020,Journal of Vascular and Interventional Radiology
Fear and stigma: the epidemic within the SARS outbreak,2004,Emerg. Infect. Dis,Preparing IR for COVID-19: The Singapore Experience,2020,Journal of Vascular and Interventional Radiology
COVID-19-new insights on a rapidly changing epidemic,,,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
World Health Organization. Coronavirus disease (COVID-19) outbreak,,,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
The novel coronavirus: a bird's eye view,2020,Int J Occup Environ Med,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
Coronavirus Disease Q9 2019 (COVID-19): What You Should Know,2020,,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
"Air, surface environmental, and personal protective equipment contamination by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) from a symptomatic patient",,JAMA,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
COVID-19 outbreak on the Diamond Princess cruise ship: estimating the epidemic potential and effectiveness of public health countermeasures,2020,J Travel Med,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
China Centers for Disease Control and Prevention. The Epidemiological Characteristics of an Outbreak of 2019 Novel Coronavirus Diseases (COVID-19)-China,2020,China CDC Weekly,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
COVID-19) Situation Summary,2019,,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
"Epidemiological and clinical characteristics of 99 cases of 2019 novel coronavirus pneumonia in Wuhan, China: a descriptive study",2020,The Lancet,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China",2020,Lancet Lond Engl,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
Factors Associated With Mental Health Outcomes Among Health Care Workers Exposed to Coronavirus Disease,2019,JAMA Network Open,Ongoing Lessons During the COVID-19 Pandemic,2020,Journal of the American College of Surgeons
"Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus-Infected Pneumonia in Wuhan, China",2020,JAMA,Preparing IR for COVID-19: The Singapore Experience,2020,Journal of Vascular and Interventional Radiology
Clinical Management of Severe Acute Respiratory Infection When Novel Coronavirus (2019-nCoV) Infection is Suspected: Interim Guidance,2020,,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
A Novel Coronavirus from Patients with Pneumonia in China,2019,The New England journal of medicine 2020,Preparing IR for COVID-19: The Singapore Experience,2020,Journal of Vascular and Interventional Radiology
Report of the WHO-China Joint Mission on Coronavirus Disease 2019 (COVID-19),2020,World Health Organization,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
Clinical Characteristics of Coronavirus Disease 2019 in China,,N Engl J Med,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
World Health Organization. Novel Coronavirus (COVID-19) Situation,,,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
Genomic characterisation and epidemiology of 2019 novel coronavirus: Implications for virus origins and receptor binding,2020,Lancet,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
Preparing for a COVID-19 Pandemic: A Review of Operating Room Outbreak Response Measures in a Large Tertiary Hospital in Singapore,2020,Can J Anesth,Preparing IR for COVID-19: The Singapore Experience,2020,Journal of Vascular and Interventional Radiology
"Response to COVID-19 in Taiwan: Big Data Analytics, New Technology, and Proactive Testing",2020,JAMA,Preparing IR for COVID-19: The Singapore Experience,2020,Journal of Vascular and Interventional Radiology
Transmission of 2019-nCoV Infection from an Asymptomatic Contact in Germany,2020,N Engl J Med,Preparing IR for COVID-19: The Singapore Experience,2020,Journal of Vascular and Interventional Radiology
"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus-Infected Pneumonia",2020,New England Journal of Medicine,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
World Health Organization. Coronavirus disease (COVID-19) technical guidance: laboratory testing for 2019-nCoV in humans,2020,,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
Clinical studies of COVID2019 on the ChiCTR,,,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
World Health Organization. Coronavirus disease 2019 (COVID-19) situation report-39,2020,,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
Taking the right measures to control COVID-19,2020,Lancet Infect. Dis,Methanol Poisoning Emerging as the Result of COVID-19 Outbreak; Radiologic Perspective,2020,Academic Radiology
"World Health Organization. WHO bumps coronavirus threat assessment to ""very high"" global risk",2020,,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
"A statement from the meeting of ACS, AORN, ASA, APIC, AST, and TJC concerning recommendations for Q12 operating room attire",2018,,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
On the origin and continuing evolution of SARS-CoV-2,2020,Natl Sci Rev,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
Estimating the asymptomatic proportion of coronavirus disease 2019 (COVID-19) cases on board the Diamond Princess cruise ship,2020,Eurosurveillance,Diagnosis of Asymptomatic COVID-19 Infection in a Patient Referred for CT Lung Biopsy,2020,Journal of Vascular and Interventional Radiology
"Chest CT Findings in Cases from the Cruise Ship ""Diamond Princess",,Radiology,Diagnosis of Asymptomatic COVID-19 Infection in a Patient Referred for CT Lung Biopsy,2020,Journal of Vascular and Interventional Radiology
Complication rates of CT-guided transthoracic lung biopsy: meta-analysis,2017,Eur Radiol,Diagnosis of Asymptomatic COVID-19 Infection in a Patient Referred for CT Lung Biopsy,2020,Journal of Vascular and Interventional Radiology
A Case of COVID-19 in a Chronic Hemodialysis Patient Presenting with Gastroenteritis and Developing Severe Pulmonary Disease,2020,Am J Nephrol,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
Obesity: The fat advantage,2016,Nature,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
Vitamin C for preventing and treating the common cold,,Cochrane Database of Systematic Reviews,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
Clinical features of patients infected with 2019 novel coronavirus in Wuhan,2020,China. The Lancet,SARS-CoV-2 Vaccines: Status Report,2020,Immunity
New insight on vitamin C in patients with chronic kidney disease,2011,J Ren Nutr,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
The Effect of Antioxidant Vitamins on Patients With Diabetes and Albuminuria: A Meta-Analysis of Randomized Controlled Trials,2020,J Ren Nutr,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
Dietary Total Antioxidant Capacity and the Risk of Chronic Kidney Disease in Patients With Type 2 Diabetes: A Nested Case-Control Study in the Tehran Lipid Glucose Study,2019,J Ren Nutr,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
Haemoglobin-E in the presence of oxidative substances from fava bean may be protective against Plasmodium falciparum malaria,1992,Trans R Soc Trop Med Hyg,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
Adequacy of Plant-Based Proteins in Chronic Kidney Disease,2019,J Ren Nutr,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
"Coronavirus Disease 19 Infection Does Not Result in Acute Kidney Injury: An Analysis of 116 Hospitalized Patients from Wuhan, China",2020,Am J Nephrol,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
Improving Muscle Strength and Preventing Sarcopenia and Cachexia in Chronic Kidney Disease and Transplanted Patients by Physical Activity and Exercise,2019,J Ren Nutr,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
Why the Nutritional Management of Acute Versus Chronic Kidney Disease Should Differ,2019,J Ren Nutr,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
"The Effects of Restricted Protein Diet Supplemented With Ketoanalogue on Renal Function, Blood Pressure, Nutritional Status, and Chronic Kidney Disease-Mineral and Bone Disorder in Chronic Kidney Disease Patients: A Systematic Review and Meta-Analysis",2019,J Ren Nutr,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
The Effect of Omega-3 Supplementation on Serum Levels of Inflammatory Biomarkers and Albumin in Hemodialysis Patients: A Systematic Review and Meta-analysis,2019,J Ren Nutr,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
Antiproteinuria Effect of Calcitriol in Patients With Chronic Kidney Disease and Vitamin D Deficiency: A Randomized Controlled Study,2019,J Ren Nutr,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
"The Effects of Melatonin Supplementation on Parameters of Mental Health, Glycemic Control, Markers of Cardiometabolic Risk, and Oxidative Stress in Diabetic Hemodialysis Patients: A Randomized, Double-Blind, Placebo-Controlled Trial",2019,J Ren Nutr,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
Effect of Oat beta-Glucan Supplementation on Chronic Kidney Disease: A Feasibility Study,2019,J Ren Nutr,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
Does Kidney Longevity Mean Healthy Vegan Food and Less Meat or Is Any Low-Protein Diet Good Enough?,2019,J Ren Nutr,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
Interactions Between Diet Quality and Interleukin-6 Genotypes Are Associated With Metabolic and Renal Function Parameters in Mexican Patients With Type 2 Diabetes Mellitus,2019,J Ren Nutr,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
Effect of Resistance Exercise Plus Cholecalciferol on Nutritional Status Indicators in Adults With Stage 4 Chronic Kidney Disease,2019,J Ren Nutr,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
CT Imaging Features of 2019 Novel Coronavirus (2019-nCoV),2020,Radiology,Diagnosis of Asymptomatic COVID-19 Infection in a Patient Referred for CT Lung Biopsy,2020,Journal of Vascular and Interventional Radiology
Positive RT-PCR Test Results in Patients Recovered From COVID-19,2020,JAMA,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
First Case of 2019 Novel Coronavirus in the United States,2020,New England Journal of Medicine,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
Chest CT for Typical 2019-nCoV Pneumonia: Relationship to Negative RT-PCR Testing,2003,Radiology,COVID-19: What Should Interventional Radiologists Know and What Can They Do?,2020,Journal of Vascular and Interventional Radiology
Is It Possible to Include Potato in the Diet of Chronic Kidney Disease Patients? New Culinary Alternatives for Limiting Potassium Content,2019,J Ren Nutr,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
Opportunities for Renal Nutrition and Metabolism at the Dawn of 2020s: An Inauguration Message From the New JREN Editors-In-Chief,2019,J Ren Nutr,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
Promoting Clinical Nutrition Science in Chronic Kidney Disease,,,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
How to protect yourself,2020,?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fprepare%2Fprevention.html. Accessed on,Impact of Nutrition and Diet on COVID-19 Infection and Implications for Kidney Health and Kidney Disease Management,2020,Journal of Renal Nutrition
